,Year,Genre,,Watched,Opinions,Remarks,,,,,,,,Genre
NightCrawler,,,,Y,,,,,,,,,,
Beaks,198,"WTF, horror",,Y,,,,,,,,,,
Battledogs,,"WTF, horror",,,,,,,,,,,,
Tentacles,,"WTF, horror",,,,,,,,,,,,
DNA,1996,"WTF, horror",,,,,,,,,,,,
D-Railed,,"WTF, horror",,,,,,,,,,,,
The Bray Road Beast,,,,,,,,,,,,,,
House of 1000 corpses,,,,,,,,,,,,,,
The Devi's Reject,,,,,,,,,,,,,,
Warrior Queen,1987,,,,,,,,,,,,,
Deathstalker,,,,,,,,,,,,,,
Vampire Virus,2020,,,,,,,,,,,,,
It Waits,2005,,,,,,,,,,,,,
The Whispering Man,2019,,,,,,,,,,,,,
Maniac Cop,1988,,,,,,,,,,,,,
The Slumber Party Massacre,1982,,,,,,,,,,,,,
Blood Clots,2020,,,,,,,,,,,,,
Seeds,2018,,,,,,,,,,,,,
Signs,,,,,,,,,,,,,,
Devil,,,,,,DO NOT WATCH BOSS 1,,,,,,,,
Boss 2: Back to Rule,,,,,,,,,,,,,,
e-Demon,2018,,,,,might be too low budget to be bad,,,,,,,,
The Hive,,,,,,,,,,,,,,
American Psycho 2,2002,,,,,,,,,,,,,
The Farm ,,,,,,????,,,,,,,,
Friend Request,,,,,,,,,,,,,,
Manichithrathazhu,,,,,,,,,,,,,,
Adventures in Babysitting,,,,,,,,,,,,,,
Falling Down,,,,,,,,,,,,,,
Dead Like Me,2003–2004,"Comedy, Drama, Fantasy",,,,,,,,,,,,
Mongolian Death Worm,,,,,,,,,,,,,,
Goatsucker,,,,Y,,goatsucker tier,,,,,,,,
Chernobyl,,,,W,,,,,,,,,,
house of bly manor,,,,W,,,,,,,,,,
Doom the movie,,,,Y,,no,,,,,,,,
